question,answer,source_file
Câu 1. Cho hàm số . Khẳng định nào dưới đây là đúng?,"['A. .\t\tB. .', 'C. .\t\tD. .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 2. Cho hàm số  liên tục trên đoạn . Diện tích của hình phẳng giới hạn bởi đồ thị hàm số , trục hoành và hai đường thẳng ,  là","['A. .\t\tB. .', 'C. .\t\tD. .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
Câu 3. Mỗi ngày bác Hương đều đi bộ để rèn luyện sức khoẻ. Quãng đường đi bộ mỗi ngày (đơn vị: ) của bác Hương trong 20 ngày được thống kê lại ở bảng sau:,"['A. Phương sai của mẫu số liệu ghép nhóm là', 'A. 3,39.\tB. 11,62.\tC. 0,1314.\tD. 0,36.']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 4. Phương trình nào sau đây là phương trình mặt cầu  tâm , đi qua điểm ?","['A. .\tB. .', 'C. .\tD. .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
Câu 5. Cho hàm số  có đồ thị hàm số như hình vẽ dưới đây,"['A. Đường tiệm cận đứng của đồ thị hàm số là:', 'A. \tB. \tC. \tD.']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
Câu 6. Tập nghiệm của bất phương trình  là,['A. .\tB. .\tC. .\tD. .'],1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 7. Trong không gian với hệ trục toạ độ , cho mặt phẳng  có vectơ pháp tuyến là","['A. .\t\tB. .', 'C. \t\tD.']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 8. Cho hình chóp  có đáy  là hình bình hành tâm O, , . Trong các khẳng định sau khẳng định nào đúng?","['A. .\t\tB. .', 'C. .\t\tD. .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
Câu 9. Nghiệm của phương trình  là:,['A. \tB. .\tC. \tD. .'],1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 10. Cho cấp số cộng  có , . Tính công sai .",['A. .\tB. .\tC. .\tD. .'],1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 11. Cho hình hộp . Đặt , ,  Phân tích vectơ  theo ?","['A. .\t\tB. .', 'C. .\t\tD. .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
Câu 12. Cho hàm số  có đồ thị như hình vẽ dưới đây.,"['A. Hàm số  đồng biến trên khoảng nào?', 'A. .\tB. .\tC. .\tD. .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
Câu 1. Cho hàm số,"['A. a) .', 'B. b) Đạo hàm của hàm số đã cho là .', 'C. c) Nghiệm của phương trình  trên đoạn  là .', 'D. d) Giá trị lớn nhất của  trên đoạn  là.']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 2. Để đảm bảo an toàn khi lưu thông trên đường, các xe ô tô khi dừng đèn đỏ phải cách nhau tối thiểu 5 m. Một ô tô  đang chạy với vận tốc  thì gặp ô tô  đang dừng đèn đỏ nên ô tô  hãm phanh và chuyển động chậm dần đều với vận tốc được biểu thị bởi công thức  (đơn vị tính bằng , thời gian  tính bằng giây).","['A. a) Thời điểm xe ô tô  dừng lại là .', 'B. b) Quãng đường  (đơn vị: mét) mà ô tô  đi được trong thời gian  giây () kể từ khi hãm phanh được tính theo công thức .', 'C. c) Từ khi bắt đầu hãm phanh đến khi dừng lại xe ô tô  đi được quãng đường .', 'D. d) Khoảng cách an toàn tối thiểu giữa xe ô tô  và ô tô  là .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 3. Lớp 12A có 30 học sinh, trong đó có 17 bạn nữ còn lại là nam. Có 3 bạn tên Hiền, trong đó có 1 bạn nữ và 2 bạn nam. Thầy giáo gọi ngẫu nhiên 1 bạn lên bảng.","['A. a) Xác suất để có tên Hiền là .', 'B. b) Xác suất để có tên Hiền, nhưng với điều kiện bạn đó nữ là .', 'C. c) Xác suất để có tên Hiền, nhưng với điều kiện bạn đó nam là .', 'D. d) Nếu thầy giáo gọi 1 bạn có tên là Hiền lên bảng thì xác xuất để bạn đó là bạn nữ là .']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 4. Một máy bay di chuyển từ sân bay A với tọa độ A(0;0;0) đến sân bay B tại tọa độ B(760;120;10) (đơn vị tính là km). Trên hành trình, máy bay sẽ đi qua vùng kiểm soát không lưu trung gian có bán kính 100 km, với tâm trạm kiểm soát đặt tại tọa độ O(380;60;0). Máy bay bay với vận tốc không đổi, hoàn thành quãng đường trong 1 giờ 25 phút (85 phút).","['A. a) Phương trình tham số của đường bay từ A đến B được cho bởi: ,  (Tham số t biểu diễn thời gian bay được tính theo giờ)', 'B. b) Máy bay đi vào phạm vi kiểm soát không lưu (bán kính 100 km, tâm tại O(380;60;0) tại thời điểm .', 'C. c) Quãng đường từ A đến B theo đường bay là 766 km.', 'D. d) Nếu máy bay bay trong vùng kiểm soát trong 15 phút (0.25 giờ), nó sẽ bay đúng 1/6 quãng đường từ lúc vào đến khi ra khỏi vùng này.']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 3. Hệ thống định vị toàn cầu  là một hệ thống cho phép xác định vị trí của một vật thể trong không gian. Trong cùng một thời điểm, vị trí của một điểm  trong không gian sẽ được xác định bởi bốn vệ tinh cho trước nhờ các bộ thu phát tín hiệu đặt trên các vệ tinh. Giả sử trong không gian với hệ tọa độ , có bốn vệ tinh lần lượt đặt tại các điểm , , , ; vị trí  thỏa mãn , , , .",['A. Khoảng cách từ điểm  đến điểm  bằng bao nhiêu?'],1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
"Câu 6. Có hai hộp đựng bi: hộp I có 6 viên bi vàng và 4 viên bi đỏ; hộp II có 7 viên bi vàng và 3 viên bi đỏ. Chọn ngẫu nhiên một viên bi từ hộp I và chuyển nó sang hộp II. Sau đó, chọn ngẫu nhiên một viên bi từ hộp II. Tính xác suất để viên bi được chọn từ hộp II là viên bi đã được chuyển từ hộp I, biết rằng viên bi đó là viên bi vàng (làm tròn kết quả đến hàng phần trăm).","['A. --------------HẾT-------------', 'B. MA TRẬN', 'C. Nhận xét:']",1763808140398-Truongthpthongduc-Dethamkhao-Toan2025.docx
