question,answer
Câu 1. Vật ở thể rắn có,"['A. thể tích và hình dạng riêng, khó nén.', 'B. thể tích và hình dạng riêng, dễ nén.', 'C. thể tích riêng nhưng không có hình dạng riêng, khó nén.', 'D. thể tích riêng nhưng không có hình dạng riêng, dễ nén.']"
Câu 2. Phản ứng hạt nhân nào sau đây không phải là phản ứng nhiệt hạch?,"['A. + → .\t\tB. +   2 .', 'C.  +    + \tD. + → .']"
Câu 3. Nhiệt độ của nước tăng thêm bao nhiêu kelvin khi đi qua máy đun?,['A. 31 K. \tB. 300 K. \tC. 290 K. \tD. 17 K.']
Câu 4. Khối lượng nước nóng ở 37oC mà máy cung cấp trong mỗi giây xấp xỉ bao nhiêu?,"['A. 0,042 kg. \tB. 1,27 kg. \tC. 0,032 kg. \tD. 2,52 kg.']"
Câu 5. Khi hai vật có nhiệt độ chênh lệch tiếp xúc nhau thì nhiệt năng truyền từ,"['A. vật có nhiệt độ cao sang vật có nhiệt độ thấp hơn.', 'B. vật có nhiệt độ thấp sang vật có nhiệt độ cao hơn.', 'C. vật có kích thước lớn sang vật có kích thước nhỏ hơn.', 'D. vật có kích thước nhỏ sang vật có kích thước lớn hơn.']"
"Câu 6. Khí lí tưởng là môi trường vật chất, trong đó các phân tử khí được xem như:","['A. Những đối tượng không tương tác nhau và có thể tích bằng không.', 'B. Chất điểm không có khối lượng.', 'C. Chất điểm có khối lượng hút lẫn nhau và có thể tích khác không', 'D. Chất điểm và chỉ tương tác với nhau khi va chạm.']"
Câu 7. Khi nhiệt độ tuyệt đối của một khối khí lí tưởng tăng gấp đôi thì động năng trung bình của các phân tử khí,['A. tăng gấp đôi. \tB. tăng gấp 4 lần. \tC. giảm 2 lần. \tD. không đổi.']
"Câu 8. Trạng thái của n (mol) khí lí tưởng đơn nguyên tử thay đổi theo quá trình (1)  (2)  (3) được thể hiện trên đồ thị (p,V) như hình vẽ. Biết nhiệt độ tuyệt đối của khối khí ở trạng thái (1) là T (K). Trong cả quá trình (1)  (2)  (3), nhiệt lượng mà khối khí nhận được là","['A. .\tB. .', 'C. .\tD. .']"
Câu 9. Xung quanh vật nào sau đây không có từ trường?,"['A. Dòng điện không đổi.\t\tB. Hạt mang điện chuyển động.', 'C. Hạt mang điện đứng yên.\t\tD. Nam châm hình chữ U.']"
Câu 10. Một dây dẫn được đặt nằm ngang theo hướng Nam  Bắc trong một từ trường đều có cảm ứng từ nằm ngang hướng về phía Đông. Trong dây dẫn có dòng electron chuyển động theo chiều về phía Nam. Phát biểu nào sau đây là đúng?,"['A. Lực từ tác dụng lên dây có hướng là hướng đông.', 'B. Lực từ tác dụng lên dây có phương thẳng đứng, chiều hướng xuống.', 'C. Lực từ tác dụng lên dây có phương thẳng đứng, chiều hướng lên.', 'D. Lực từ tác dụng lên dây có hướng là hướng tây.']"
"Câu 11. Một dây dẫn nằm ngang dài 50 cm mang dòng điện cường độ 3,0 A đặt vuông góc với vectơ cảm ứng từ B của một từ trường đều như hình bên. Biết vectơ cảm ứng từ B có phương nằm ngang và độ lớn 0,05 T. Lực từ tác dụng lên đoạn dây có","['A. độ lớn 7,5 N, phương thẳng đứng, chiều hướng lên trên.', 'B. độ lớn 7,5 N, phương thẳng đứng, chiều hướng xuống dưới.', 'C. độ lớn 0,075 N, phương thẳng đứng, chiều hướng xuống dưới.', 'D. độ lớn 0,075 N, phương thẳng đứng, chiều hướng lên trên.']"
"Câu 12. Một cuộn dây có 200 vòng, diện tích mỗi vòng dây 300 cm2, được đặt trong một từ trường đều có độ lớn cảm ứng từ 0,015 T. Cuộn dây quay quanh một trục đối xứng của nó, vuông góc với từ trường thì suất điện động cực đại xuất hiện trong cuộn dây là 7,1 V. Tốc độ góc của khung là",['A. 81 rad/s. \tB. 55 rad/s. \tC. 79 rad/s. \tD. 57 rad/s.']
Câu 13. Từ trường là dạng vật chất tồn tại trong không gian và,"['A. tác dụng lực đẩy lên các vật đặt trong nó.', 'B. tác dụng lực điện lên điện tích đặt trong nó.', 'C. tác dụng lực hút lên các vật đặt trong nó.', 'D. tác dụng lực từ lên nam châm và dòng điện đặt trong nó.']"
"Câu 14. Trong ô tô, người ta thường đặt ở hệ thống tay lái một thiết bị nhằm bảo vệ người lái xe khi xe gặp tai nạn, gọi là “túi khí”. Túi khí được chế tạo bằng vật liệu co giãn, chịu được áp suất lớn. Trong túi khí thường chứa chất Sodium Azide (NaN3), khi xe va chạm mạnh vào vật cản thì hệ thống cảm biến của xe sẽ kích thích chất rắn này làm nó phân hủy tạo thành Sodium (Na) và khí Nitrogen (N2). Khí N2 được tạo thành có tác dụng:","['A. làm phồng túi khí, giúp người lái xe không bị va chạm trực tiếp vào hệ thống lái.', 'B. giúp người lái xe không bị xóc.', 'C. giúp người lái xe dễ lái hơn.', 'D. điều hòa không khí trong xe.']"
"Câu 15. Khoảng giữa tháng 3 năm 2015, khi bàn giao tài sản do thay đổi nhân sự phụ trách an toàn bức xạ, một nhà máy thép tại Bà Rịa – Vũng Tàu phát hiện một nguồn phóng xạ  đã bị thất lạc. Nhà chức trách chỉ đạo phải khẩn cấp tìm nguồn phóng xạ đã bị thất lạc này. Việc khẩn cấp tìm kiếm nguồn phóng xạ  bị thất lạc là rất quan trọng vì nguồn này","['A. rất đắt tiền.', 'B. khó sản xuất nên khó tìm thấy trên thị trường.', 'C. có thể gây nguy hiểm đến sức khỏe dân cư.', 'D. cần thiết trong việc khảo sát sức khỏe bền của thép.']"
Câu 16. Hạt nhân Triti ( ) có,"['A. 3 nuclôn, trong đó có 1 prôtôn.\tB. 3 nơtrôn và 1 prôtôn.', 'C. 3 nuclôn, trong dó có 1 nơtrôn.\t\t\t\tD. 3 prôtôn và 1 nơtrôn.']"
"Câu 17. Đồng vị phóng xạ  có chu kì bán rã là 138,4 ngày. Xét một mẫu chất đang chứa hạt nhân  (tại thời điểm ban đầu). Sau bao lâu kể từ thời điểm ban đầu thì tỉ số giữa số hạt nhân  đã phân rã thành hạt nhân khác và số hạt nhân  còn lại bằng 3?","['A. 415,2 ngày.\tB. 276,8 ngày.\tC. 321,4 ngày.\tD. 219,4 ngày.']"
"Người thợ lặn sử dụng bình nén khí (bình A) có các thông số 12 lít – 2.107 Pa chứa không khí (xem là khí lí tưởng). Người ta sử dụng máy nén khí để bơm khí ở áp suất 105 Pa vào bình A với lưu lượng khí là 100 lít/phút và nhiệt độ khối khí không đổi trong suốt quá trình bơm. Ban đầu trong bình A chưa có khí và bỏ qua lượng khí thoát ra ngoài. Nếu bọt khí nitrogen được hình thành ở độ sâu 35 m thì khi người thợ lặn lên đến mặt nước, thể tích bọt khí nitrogen tăng:","['A. 4,5 lần', 'B. 5,3 lần.', 'C. 4 lần.', 'D. 5 lần.']"
"Câu 1. Ở Việt Nam, đặc biệt là tại các thành phố lớn, trà đá vỉa hè là một phần không thể thiếu trong đời sống thường ngày. Người bán thường pha trà bằng cách cho trà vào ấm, rót nước sôi vào, để trà ngấm trong vài phút rồi đặt ấm vào bình giữ nhiệt. Khi có khách, họ sẽ rót trà vào cốc, thêm đá, mang đến một cốc trà thơm ngon để khách thưởng thức","['A. a) Nước đá nổi trong cốc trà chứng tỏ nước đá có khối riêng nhỏ hơn nước.', 'B. b) Một viên nước đá trước khi bỏ vào cốc trà có khối lượng 35 g, nhiệt độ -50C. Cho biết nhiệt dung riêng của nước đá là  nhiệt nóng chảy riêng của nước đá là  Nhiệt lượng cần cung cấp cho một viên nước đá nóng chảy hoàn toàn ở nhiệt độ nóng chảy 00C là .', 'C. c) Sau một thời gian thả đá vào cốc, ta thấy bên ngoài cốc có nước bám vào thành cốc. Hiện tượng này là do nước thẩm thấu từ bên trong ra bên ngoài thành cốc.', 'D. d) Nước đá truyền nhiệt lượng cho nước trà làm nước trà mát lạnh.']"
"Câu 2. Một đoạn dây dẫn có khối lượng 0,010 kg được treo bằng các lò xo trong từ trường đều có độ lớn cảm ứng từ là 0,041 T và hướng theo phương ngang (Hình vẽ). Phần dây dẫn nằm ngang trong từ trường và vuông góc với cảm ứng từ có chiều dài 1,0 m. Lấy g = 9,8 m/s2. Biết lò xo ở trạng thái tự nhiên và dây treo không nhiễm từ.","['A. a. Độ lớn lực từ tác dụng lên dây dẫn cân bằng với trọng lực tác dụng lên dây', 'B. b. Lực từ có chiều thẳng đứng từ dưới lên trên.', 'C. c. Dòng điện có chiều từ B đến A', 'D. d. Cường độ dòng điện chạy qua dây AB có giá trị 2,4 A']"
"Câu 3. Một nhân viên pha chế một mẫu trà sữa bằng cách trộn các chất lỏng lại với nhau, gồm: nước trà đen (mẫu T), nước đường nâu (mẫu D) và sữa tươi (mẫu S). Các mẫu chất lỏng này chỉ trao đổi nhiệt lẫn nhau mà không gây ra các phản ứng hóa học. Bỏ qua sự trao đổi nhiệt với môi trường. Nhiệt độ trước khi trộn của mẫu T, mẫu D và mẫu S lần lượt là 22 °C, 25 °C và 30 °C. Khối lượng của mẫu T, mẫu D và mẫu S lần lượt là  (kg),  (kg) và  (kg). Biết rằng:","['A. Khi trộn mẫu T với mẫu D với nhau thì nhiệt độ cân bằng của hệ là 24 °C.', 'B. Khi trộn mẫu D với mẫu S với nhau thì nhiệt độ cân bằng của hệ là 28 °C.', 'C. Biết nhiệt dung riêng của nước trà đen là  J/(kg.K), khối lượng của mẫu nước trà đen là  kg. Nhiệt nóng chảy riêng của nước đá và nhiệt dung riêng của nước lần lượt là  J/kg và  J/(kg.K).', 'D. a. Khi trộn mẫu T với mẫu D với nhau thì nhiệt độ mẫu T sẽ truyền nhiệt và mẫu D nhận nhiệt.', 'E. b. Khi có sự cân bằng nhiệt thì các mẫu sẽ ngưng nhận nhiệt và truyền nhiệt.', 'F. c. Nhiệt độ cân bằng của hệ khi trộn mẫu T với mẫu S là .', 'G. d. Nhiệt độ cân bằng của hệ khi trộn cả ba mẫu là .']"
"Câu 4. Dự án lò phản ứng nhiệt hạch ITER tại Pháp dùng phản ứng nhiệt hạch để phát điện với công suất điện tạo ra là 500 MW và hiệu suất chuyển hóa từ nhiệt sang điện bằng 25%. Cho độ hụt khối của hạt nhân T, hạt nhân D và hạt nhân He lần lượt là 0,009106u; 0,002491u và 0,030382 u.","['A. a. Phản ứng nhiệt hạch là phản ứng tỏa năng lượng.', 'B. b. Năng lượng mà nhà máy tạo ra trong 1 năm là .', 'C. c. Số hạt được tạo ra trong 1 năm ta không tính được.', 'D. d. Khối lượng Heli do nhà máy thải ra trong 1 năm (365 ngày) là 149,6 kg']"
"Câu 6. Dùng hạt α có động năng 5,00 MeV bắn vào hạt nhân  đứng yên gây ra phản ứng:  + . Phản ứng này thu năng lượng 1,21 MeV và không kèm theo bức xạ gamma. Lấy khối lượng các hạt nhân tính theo đơn vị u bằng số khối của chúng. Khi hạt nhân X bay ra theo hướng lệch với hướng chuyển động của hạt α một góc lớn nhất thì động năng của hạt X có giá trị gần nhất với giá trị bằng bao nhiêu MeV ? (Kết quả làm tròn sau dấu phẩy một chữ số thập phân).",['A. ĐÁP ÁN CHI TIẾT']
Câu 1. Vật ở thể rắn có,"['A. thể tích và hình dạng riêng, khó nén.', 'B. thể tích và hình dạng riêng, dễ nén.', 'C. thể tích riêng nhưng không có hình dạng riêng, khó nén.', 'D. thể tích riêng nhưng không có hình dạng riêng, dễ nén.', 'E. Hướng dẫn giải: Đáp án A.', 'F. Vật ở thể rắn có thể tích và hình dạng riêng, khó nén', 'G. CĐTD: Biết', 'H. TPNL: VL 1.1']"
Câu 2. Phản ứng hạt nhân nào sau đây không phải là phản ứng nhiệt hạch?,"['A. + → .\t\tB. +   2 .', 'C.  +    + \tD. + → .', 'C. Hướng dẫn giải: Đáp án C', 'D. Theo định nghĩa phản ứng nhiệt hạch ta chọn được C', 'E. CĐTD: Biết', 'F. TPNL: VL 1.1']"
Câu 3. Nhiệt độ của nước tăng thêm bao nhiêu kelvin khi đi qua máy đun?,"['A. 31 K. \tB. 300 K. \tC. 290 K. \tD. 17 K.', 'B. Hướng dẫn giải: Đáp án D', 'C. Độ tăng nhiệt độ thì độ C và K đều như nhau: 37- 20 = 17', 'D. CĐTD: Biết', 'E. TPNL: VL1.3']"
Câu 4. Khối lượng nước nóng ở 37oC mà máy cung cấp trong mỗi giây xấp xỉ bao nhiêu?,"['A. 0,042 kg. \tB. 1,27 kg. \tC. 0,032 kg. \tD. 2,52 kg.', 'B. Hướng dẫn giải: Đáp án A', 'C. Sử dụng công thức  với Q=P.t', 'D. Với t = 1s ta tính được m=0,042 kg', 'E. CĐTD: Vận dụng', 'F. TPNL: VL3.1']"
Câu 5. Khi hai vật có nhiệt độ chênh lệch tiếp xúc nhau thì nhiệt năng truyền từ,"['A. vật có nhiệt độ cao sang vật có nhiệt độ thấp hơn.', 'B. vật có nhiệt độ thấp sang vật có nhiệt độ cao hơn.', 'C. vật có kích thước lớn sang vật có kích thước nhỏ hơn.', 'D. vật có kích thước nhỏ sang vật có kích thước lớn hơn.', 'E. Hướng dẫn giải: Đáp án A', 'F. Khi hai vật có nhiệt độ chênh lệch tiếp xúc nhau thì nhiệt năng truyền từ vật có nhiệt độ cao sang vật có nhiệt độ thấp hơn.', 'G. CĐTD: Hiểu', 'H. TPNL:VL1.4']"
"Câu 6. Khí lí tưởng là môi trường vật chất, trong đó các phân tử khí được xem như:","['A. Những đối tượng không tương tác nhau và có thể tích bằng không.', 'B. Chất điểm không có khối lượng.', 'C. Chất điểm có khối lượng hút lẫn nhau và có thể tích khác không', 'D. Chất điểm và chỉ tương tác với nhau khi va chạm.', 'E. Hướng dẫn giải: Đáp án D', 'F. Theo định nghĩa khí lí tưởng ta chọn đáp án D', 'G. CĐTD: Biết', 'H. TPNL:VL1.1']"
Câu 7. Khi nhiệt độ tuyệt đối của một khối khí lí tưởng tăng gấp đôi thì động năng trung bình của các phân tử khí,"['A. tăng gấp đôi. \tB. tăng gấp 4 lần. \tC. giảm 2 lần. \tD. không đổi.', 'B. Hướng dẫn giải: Đáp án A', 'C. Theo công thức  ta chọn A', 'D. CĐTD: Biết', 'E. TPNL:1.2']"
